A->B->C->D->E->F->G
B->H->I->J
C
D
E->K->L
F
G->G
H->N->O
I
J
K->P
L->Q
M
N
O
P
Q


X A B C D E F G H I J K L M N O P Q
A 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 
B 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0
C 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
E 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
F 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
G 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
H 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
J 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
M 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
O 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
